,title,category,authors,date,summary
0,An Efficient Distributed Multi-Agent Reinforcement Learning for EV Charging Network Control,Multiagent Systems,Amin Shojaeighadikolaei; Morteza Hashemi,24-August-2023,"The increasing trend in adopting electric vehicles (EVs) will significantly
impact the residential electricity demand, which results in an increased risk
of transformer overload in the distribution grid. To mitigate such risks, there
are urgent needs to develop effective EV charging controllers. Currently, the
majority of the EV charge controllers are based on a centralized approach for
managing individual EVs or a group of EVs. In this paper, we introduce a
decentralized Multi-agent Reinforcement Learning (MARL) charging framework that
prioritizes the preservation of privacy for EV owners. We employ the
Centralized Training Decentralized Execution-Deep Deterministic Policy Gradient
(CTDE-DDPG) scheme, which provides valuable information to users during
training while maintaining privacy during execution. Our results demonstrate
that the CTDE framework improves the performance of the charging network by
reducing the network costs. Moreover, we show that the Peak-to-Average Ratio
(PAR) of the total demand is reduced, which, in turn, reduces the risk of
transformer overload during the peak hours."
1,A Human-on-the-Loop Optimization Autoformalism Approach for Sustainability,Artificial Intelligence,Ming Jin; Bilgehan Sel; Fnu Hardeep; Wotao Yin,20-August-2023,"This paper outlines a natural conversational approach to solving personalized
energy-related problems using large language models (LLMs). We focus on
customizable optimization problems that necessitate repeated solving with
slight variations in modeling and are user-specific, hence posing a challenge
to devising a one-size-fits-all model. We put forward a strategy that augments
an LLM with an optimization solver, enhancing its proficiency in understanding
and responding to user specifications and preferences while providing nonlinear
reasoning capabilities. Our approach pioneers the novel concept of human-guided
optimization autoformalism, translating a natural language task specification
automatically into an optimization instance. This enables LLMs to analyze,
explain, and tackle a variety of instance-specific energy-related problems,
pushing beyond the limits of current prompt-based techniques.
  Our research encompasses various commonplace tasks in the energy sector, from
electric vehicle charging and Heating, Ventilation, and Air Conditioning (HVAC)
control to long-term planning problems such as cost-benefit evaluations for
installing rooftop solar photovoltaics (PVs) or heat pumps. This pilot study
marks an essential stride towards the context-based formulation of optimization
using LLMs, with the potential to democratize optimization processes. As a
result, stakeholders are empowered to optimize their energy consumption,
promoting sustainable energy practices customized to personal needs and
preferences."
2,Exploring the Role of Perceived Range Anxiety in Adoption Behavior of Plug-in Electric Vehicles,General Economics,Fatemeh Nazari; Abolfazl Mohammadian; Thomas Stephens,20-August-2023,"A sustainable solution to negative externalities imposed by road
transportation is replacing internal combustion vehicles with electric vehicles
(EVs), especially plug-in EV (PEV) encompassing plug-in hybrid EV (PHEV) and
battery EV (BEV). However, EV market share is still low and is forecast to
remain low and uncertain. This shows a research need for an in-depth
understanding of EV adoption behavior with a focus on one of the main barriers
to the mass EV adoption, which is the limited electric driving range. The
present study extends the existing literature in two directions; First, the
influence of the psychological aspect of driving range, which is referred to as
range anxiety, is explored on EV adoption behavior by presenting a nested logit
(NL) model with a latent construct. Second, the two-level NL model captures
individuals' decision on EV adoption behavior distinguished by vehicle
transaction type and EV type, where the upper level yields the vehicle
transaction type selected from the set of alternatives including
no-transaction, sell, trade, and add. The fuel type of the vehicles decided to
be acquired, either as traded-for or added vehicles, is simultaneously
determined at the lower level from a set including conventional vehicle, hybrid
EV, PHEV, and BEV. The model is empirically estimated using a stated
preferences dataset collected in the State of California. A notable finding is
that anxiety about driving range influences the preference for BEV, especially
as an added than traded-for vehicle, but not the decision on PHEV adoption."
3,Stochastic Optimization of Coupled Power Distribution-Urban Transportation Network Operations with Autonomous Mobility on Demand Systems,Systems and Control,Han Wang; Xiaoyuan Xu; Yue Chen; Zheng Yan; Mohammad Shahidehpour; Jiaqi Li; Shaolun Xu,20-August-2023,"Autonomous mobility on demand systems (AMoDS) will significantly affect the
operation of coupled power distribution-urban transportation networks (PTNs) by
the optimal dispatch of electric vehicles (EVs). This paper proposes an
uncertainty method to analyze the operational states of PTNs with AMoDS. First,
a PTN operation framework is designed considering the controllable EVs
dispatched by AMoDS as well as the uncontrollable driving behaviors of other
vehicle users. Then, a bi-level power-traffic flow (PTF) model is proposed to
characterize the interaction of power distribution networks (PDNs) and urban
transportation networks (UTNs). In the upper level, a social optimum model is
established to minimize the operating cost of PDNs and UTNs embedded with
controllable EVs. In the lower level, a stochastic user equilibrium (SUE) model
is established to minimize the operating cost of uncontrollable EVs and
gasoline vehicles (GVs) in UTNs. Finally, a probabilistic PTF analysis method
is developed to evaluate PTN operations under environmental and human
uncertainties. A regional sensitivity analysis method is proposed to identify
the critical uncertainties and quantify the impacts of their distribution
ranges on PTN operations. The effectiveness of the proposed method is verified
by the PTN consisting of a 21-bus PDN and a 20-node UTN."
4,DiffCharge: Generating EV Charging Scenarios via a Denoising Diffusion Model,Systems and Control,Siyang Li; Hui Xiong; Yize Chen,18-August-2023,"Recent proliferation of electric vehicle (EV) charging events has brought
prominent stress over power grid operation. Due to the stochastic and volatile
EV charging behaviors, the induced charging loads are extremely uncertain,
posing modeling and control challenges for grid operators and charging
management. Generating EV charging scenarios would aid via synthesizing a
myriad of realistic charging scenarios. To this end, we propose a novel
denoising Diffusion-based Charging scenario generation model DiffCharge, which
is capable of generating a broad variety of realistic EV charging profiles with
distinctive temporal properties. It is able to progressively convert the simply
known Gaussian noise to genuine charging time-series data, by learning a
parameterized reversal of a forward diffusion process. Besides, we leverage the
multi-head self-attention and prior conditions to capture the temporal
correlations and unique information associated with EV or charging station
types in real charging profiles. Moreover, We demonstrate the superiority of
DiffCharge on extensive real-world charging datasets, as well as the efficacy
on EV integration in power distribution grids."
5,Towards Trustworthy NFC-based Sensor Readout for Battery Packs in Battery Management Systems,Systems and Control,Fikret Basic; Martin Gaertner; Christian Steger,18-August-2023,"In the last several years, wireless Battery Management Systems (BMS) have
slowly become a topic of interest from both academia and industry. It came from
a necessity derived from the increased production and use in different systems,
including the electrical vehicles. Wireless communication allows for a more
flexible and cost-efficient sensor installation in battery packs. However, many
wireless technologies, such as those that use the 2.4 GHz frequency band,
suffer from the interference limitations that need to be addressed. In this
paper we present an alternative approach to communication in BMS that relies on
the use of Near Field Communication (NFC) technology for battery sensor
readouts. Due to a vital concern over the counterfeited battery pack products,
security measures are also considered. To this end, we propose the use of an
effective, and easy to integrate, authentication schema that is supported by
the dedicated NFC devices. To test the usability of our design, a demonstrator
using the targeted devices was implemented and evaluated."
6,Federated Reinforcement Learning for Electric Vehicles Charging Control on Distribution Networks,Systems and Control,Junkai Qian; Yuning Jiang; Xin Liu; Qing Wang; Ting Wang; Yuanming Shi; Wei Chen,17-August-2023,"With the growing popularity of electric vehicles (EVs), maintaining power
grid stability has become a significant challenge. To address this issue, EV
charging control strategies have been developed to manage the switch between
vehicle-to-grid (V2G) and grid-to-vehicle (G2V) modes for EVs. In this context,
multi-agent deep reinforcement learning (MADRL) has proven its effectiveness in
EV charging control. However, existing MADRL-based approaches fail to consider
the natural power flow of EV charging/discharging in the distribution network
and ignore driver privacy. To deal with these problems, this paper proposes a
novel approach that combines multi-EV charging/discharging with a radial
distribution network (RDN) operating under optimal power flow (OPF) to
distribute power flow in real time. A mathematical model is developed to
describe the RDN load. The EV charging control problem is formulated as a
Markov Decision Process (MDP) to find an optimal charging control strategy that
balances V2G profits, RDN load, and driver anxiety. To effectively learn the
optimal EV charging control strategy, a federated deep reinforcement learning
algorithm named FedSAC is further proposed. Comprehensive simulation results
demonstrate the effectiveness and superiority of our proposed algorithm in
terms of the diversity of the charging control strategy, the power fluctuations
on RDN, the convergence efficiency, and the generalization ability."
7,Protecting the Future Grid: An Electric Vehicle Robust Mitigation Scheme Against Load Altering Attacks on Power Grids,Systems and Control,Mohammad Ali Sayed; Mohsen Ghafouri; Ribal Atallah; Mourad Debbabi; Chadi Assi,15-August-2023,"Due to the growing threat of climate change, the worlds governments have been
encouraging the adoption of Electric Vehicles (EVs). As a result, EV numbers
have been growing exponentially which will introduce a large EV charging load
into the power grid. On this basis, we present a scheme to utilize EVs as a
defense mechanism to mitigate Load-Altering (LA) attacks against the grid. The
developed scheme relies on robust control theory and Linear Matrix Inequalities
(LMIs). Our EV-based defense mechanism is formulated as a feedback controller
synthesized using H-2 and H-infinity control techniques to eliminate the impact
of unknown LA attacks. The controller synthesis considers the grid topology and
the uncertainties of the EV connection to the grid. To demonstrate the
effectiveness of the proposed mitigation scheme, it is tested against three
types of LA attacks on the New England 39-bus grid. We test our mitigation
scheme against 800 MW static, switching, and dynamic attacks in the presence of
multiple sources of uncertainty that can affect the EV load during deployment.
The results demonstrate how the grid remains stable under the LA attacks that
would otherwise lead to serious instabilities."
8,Challenges and Opportunities for Second-life Batteries: A Review of Key Technologies and Economy,Systems and Control,Xubo Gu; Hanyu Bai; Xiaofan Cui; Juner Zhu; Weichao Zhuang; Zhaojian Li; Xiaosong Hu; Ziyou Song,13-August-2023,"Due to the increasing volume of Electric Vehicles in automotive markets and
the limited lifetime of onboard lithium-ion batteries (LIBs), the large-scale
retirement of LIBs is imminent. The battery packs retired from Electric
Vehicles still own 70%-80% of the initial capacity, thus having the potential
to be utilized in scenarios with lower energy and power requirements to
maximize the value of LIBs. However, spent batteries are commonly less reliable
than fresh batteries due to their degraded performance, thereby necessitating a
comprehensive assessment from safety and economic perspectives before further
utilization. To this end, this paper reviews the key technological and economic
aspects of second-life batteries (SLBs). Firstly, we introduce various
degradation models for first-life batteries and identify an opportunity to
combine physics-based theories with data-driven methods to establish
explainable models with physical laws that can be generalized. However,
degradation models specifically tailored to SLBs are currently absent.
Therefore, we analyze the applicability of existing battery degradation models
developed for first-life batteries in SLB applications. Secondly, we
investigate fast screening and regrouping techniques and discuss the regrouping
standards for the first time to guide the classification procedure and enhance
the performance and safety of SLBs. Thirdly, we scrutinize the economic
analysis of SLBs and summarize the potentially profitable applications.
Finally, we comprehensively examine and compare power electronics technologies
that can substantially improve the performance of SLBs, including
high-efficiency energy transformation technologies, active equalization
technologies, and technologies to improve reliability and safety."
9,Optimal EV Charging Decisions Considering Charging Rate Characteristics and Congestion Effects,Computer Science and Game Theory,Lihui Yi; Ermin Wei,11-August-2023,"With the rapid growth in the demand for plug-in electric vehicles (EVs), the
corresponding charging infrastructures are expanding. These charging stations
are located at various places and with different congestion levels. EV drivers
face an important decision in choosing which charging station to go to in order
to reduce their overall time costs. However, existing literature either assumes
a flat charging rate and hence overlooks the physical characteristics of an EV
battery where charging rate is typically reduced as the battery charges, or
ignores the effect of other drivers on an EV's decision making process. In this
paper, we consider both the predetermined exogenous wait cost and the
endogenous congestion induced by other drivers' strategic decisions, and
propose a differential equation based approach to find the optimal strategies.
We analytically characterize the equilibrium strategies and find that
co-located EVs may make different decisions depending on the charging rate
and/or remaining battery levels. Through numerical experiments, we investigate
the impact of charging rate characteristics, modeling parameters and the
consideration of endogenous congestion levels on the optimal charging
decisions. Finally, we conduct numerical studies on real-world data and find
that some EV users with slower charging rates may benefit from the
participation of fast-charging EVs."
