,title,category,authors,date,summary
0,The geometry of financial institutions -- Wasserstein clustering of financial data,Machine Learning,Lorenz Riess; Mathias Beiglböck; Johannes Temme; Andreas Wolf; Julio Backhoff,05-May-2023,"The increasing availability of granular and big data on various objects of
interest has made it necessary to develop methods for condensing this
information into a representative and intelligible map. Financial regulation is
a field that exemplifies this need, as regulators require diverse and often
highly granular data from financial institutions to monitor and assess their
activities. However, processing and analyzing such data can be a daunting task,
especially given the challenges of dealing with missing values and identifying
clusters based on specific features.
  To address these challenges, we propose a variant of Lloyd's algorithm that
applies to probability distributions and uses generalized Wasserstein
barycenters to construct a metric space which represents given data on various
objects in condensed form. By applying our method to the financial regulation
context, we demonstrate its usefulness in dealing with the specific challenges
faced by regulators in this domain. We believe that our approach can also be
applied more generally to other fields where large and complex data sets need
to be represented in concise form."
1,Decentralized Finance (DeFi),General Finance,Mansur Bestas,15-February-2023,"Decentralized finance, powered by blockchain technology, is growing day by
day. This field, which emerged a few years ago, today manages $70 billion in
assets. In this study, the concept of decentralized finance is discussed and
explained the differences from traditional finance. Then, compliance with the
legal regulations and the requirements to ensure compliance are mentioned. An
evaluation has been made about the financial services offered by the
decentralized finance field and the stock market and stablecoins that it uses
as a tool while providing these services. Its economic effects, security and,
privacy dimensions are examined. In the study, the differences between
centralized and decentralized finance, which generally covers legal, economic,
security, privacy, and market manipulation, are systematically analyzed. A
structured methodology is presented to distinguish between centralized and
decentralized financial services. Keywords: decentralized finance, FinTech,
financial regulation, blockchain, distributed ledger technology."
2,An Axiomatic Viewpoint on the Rogers--Veraart and Suzuki--Elsinger Models of Systemic Risk,Optimization and Control,Yuri Kabanov; Arthur Sidorenko,26-December-2022,"We study a model of clearing in an interbank network with crossholdings and
default charges. Following the Eisenberg--Noe approach, we define the model via
a set of natural financial regulations including those related with eventual
default charges and derive a finite family of fixpoint problems. These problems
are parameterized by vectors of binary variables. Our model combines features
of the Ararat--Meimanjanov, Rogers--Veraart, and Suzuki--Elsinger networks. We
develop methods of computing the maximal and minimal clearing pairs using the
mixed integer-linear programming and a Gaussian elimination algorithm."
3,Interpretable Selective Learning in Credit Risk,Computational Finance,Dangxing Chen; Weicheng Ye; Jiahui Ye,21-September-2022,"The forecasting of the credit default risk has been an important research
field for several decades. Traditionally, logistic regression has been widely
recognized as a solution due to its accuracy and interpretability. As a recent
trend, researchers tend to use more complex and advanced machine learning
methods to improve the accuracy of the prediction. Although certain non-linear
machine learning methods have better predictive power, they are often
considered to lack interpretability by financial regulators. Thus, they have
not been widely applied in credit risk assessment. We introduce a neural
network with the selective option to increase interpretability by
distinguishing whether the datasets can be explained by the linear models or
not. We find that, for most of the datasets, logistic regression will be
sufficient, with reasonable accuracy; meanwhile, for some specific data
portions, a shallow neural network model leads to much better accuracy without
significantly sacrificing the interpretability."
4,Measuring Tail Risks,Risk Management,Kan Chen; Tuoyuan Cheng,15-September-2022,"Value at risk (VaR) and expected shortfall (ES) are common high
quantile-based risk measures adopted in financial regulations and risk
management. In this paper, we propose a tail risk measure based on the most
probable maximum size of risk events (MPMR) that can occur over a length of
time. MPMR underscores the dependence of the tail risk on the risk management
time frame. Unlike VaR and ES, MPMR does not require specifying a confidence
level. We derive the risk measure analytically for several well-known
distributions. In particular, for the case where the size of the risk event
follows a power law or Pareto distribution, we show that MPMR also scales with
the number of observations $n$ (or equivalently the length of the time
interval) by a power law, $\text{MPMR}(n) \propto n^{\eta}$, where $\eta$ is
the scaling exponent. The scale invariance allows for reasonable estimations of
long-term risks based on the extrapolation of more reliable estimations of
short-term risks. The scaling relationship also gives rise to a robust and
low-bias estimator of the tail index (TI) $\xi$ of the size distribution, $\xi
= 1/\eta$. We demonstrate the use of this risk measure for describing the tail
risks in financial markets as well as the risks associated with natural hazards
(earthquakes, tsunamis, and excessive rainfall)."
5,E-backtesting,Risk Management,Qiuqi Wang; Ruodu Wang; Johanna Ziegel,27-August-2022,"In the recent Basel Accords, the Expected Shortfall (ES) replaces the
Value-at-Risk (VaR) as the standard risk measure for market risk in the banking
sector, making it the most important risk measure in financial regulation. One
of the most challenging tasks in risk modeling practice is to backtest ES
forecasts provided by financial institutions. To design a model-free
backtesting procedure for ES, we make use of the recently developed techniques
of e-values and e-processes. Model-free e-statistics are introduced to
formulate e-processes for risk measure forecasts, and unique forms of
model-free e-statistics for VaR and ES are characterized using recent results
on identification functions. For a given model-free e-statistic, optimal ways
of constructing the e-processes are studied. The proposed method can be
naturally applied to many other risk measures and statistical quantities. We
conduct extensive simulation studies and data analysis to illustrate the
advantages of the model-free backtesting method, and compare it with the ones
in the literature."
6,Understanding Volatility Spillover Relationship Among G7 Nations And India During Covid-19,Econometrics,Avik Das; Dr. Devanjali Nandi Das,19-August-2022,"Purpose: In the context of a COVID pandemic in 2020-21, this paper attempts
to capture the interconnectedness and volatility transmission dynamics. The
nature of change in volatility spillover effects and time-varying conditional
correlation among the G7 countries and India is investigated. Methodology: To
assess the volatility spillover effects, the bivariate BEKK and t- DCC (1,1)
GARCH (1,1) models have been used. Our research shows how the dynamics of
volatility spillover between India and the G7 countries shift before and during
COVID-19. Findings: The findings reveal that the extent of volatility spillover
has altered during COVID compared to the pre-COVID environment. During this
pandemic, a sharp increase in conditional correlation indicates an increase in
systematic risk between countries. Originality: The study contributes to a
better understanding of the dynamics of volatility spillover between G7
countries and India. Asset managers and foreign corporations can use the
changing spillover dynamics to improve investment decisions and implement
effective hedging measures to protect their interests. Furthermore, this
research will assist financial regulators in assessing market risk in the
future owing to crises like as COVID-19."
7,Do financial regulators act in the public's interest? A Bayesian latent class estimation framework for assessing regulatory responses to banking crises,Statistics Applications,Padma Sharma; Trambak Banerjee,08-August-2022,"When banks fail amidst financial crises, the public criticizes regulators for
bailing out or liquidating specific banks, especially the ones that gain
attention due to their size or dominance. A comprehensive assessment of
regulators, however, requires examining all their decisions, and not just
specific ones, against the regulator's dual objective of preserving financial
stability while discouraging moral hazard. In this article, we develop a
Bayesian latent class estimation framework to assess regulators on these
competing objectives and evaluate their decisions against resolution rules
recommended by theoretical studies of bank behavior designed to contain moral
hazard incentives. The proposed estimation framework addresses the unobserved
heterogeneity underlying regulator's decisions in resolving failed banks and
provides a disciplined statistical approach for inferring if they acted in the
public interest. Our results reveal that during the crises of 1980's, the U.S.
banking regulator's resolution decisions were consistent with recommended
decision rules, while the U.S. savings and loans (S&L) regulator, which
ultimately faced insolvency in 1989 at a cost of $132 billion to the taxpayer,
had deviated from such recommendations. Timely interventions based on this
evaluation could have redressed the S&L regulator's decision structure and
prevented losses to taxpayers."
8,Exploring Financial Networks Using Quantile Regression and Granger Causality,Statistical Finance,Kara Karpman; Samriddha Lahiry; Diganta Mukherjee; Sumanta Basu,21-July-2022,"In the post-crisis era, financial regulators and policymakers are
increasingly interested in data-driven tools to measure systemic risk and to
identify systemically important firms. Granger Causality (GC) based techniques
to build networks among financial firms using time series of their stock
returns have received significant attention in recent years. Existing GC
network methods model conditional means, and do not distinguish between
connectivity in lower and upper tails of the return distribution - an aspect
crucial for systemic risk analysis. We propose statistical methods that measure
connectivity in the financial sector using system-wide tail-based analysis and
is able to distinguish between connectivity in lower and upper tails of the
return distribution. This is achieved using bivariate and multivariate GC
analysis based on regular and Lasso penalized quantile regressions, an approach
we call quantile Granger causality (QGC). By considering centrality measures of
these financial networks, we can assess the build-up of systemic risk and
identify risk propagation channels. We provide an asymptotic theory of QGC
estimators under a quantile vector autoregressive model, and show its benefit
over regular GC analysis on simulated data. We apply our method to the monthly
stock returns of large U.S. firms and demonstrate that lower tail based
networks can detect systemically risky periods in historical data with higher
accuracy than mean-based networks. In a similar analysis of large Indian banks,
we find that upper and lower tail networks convey different information and
have the potential to distinguish between periods of high connectivity that are
governed by positive vs negative news in the market."
9,Discovering material information using hierarchical Reformer model on financial regulatory filings,Statistical Finance,Francois Mercier; Makesh Narsimhan,28-March-2022,"Most applications of machine learning for finance are related to forecasting
tasks for investment decisions. Instead, we aim to promote a better
understanding of financial markets with machine learning techniques. Leveraging
the tremendous progress in deep learning models for natural language
processing, we construct a hierarchical Reformer ([15]) model capable of
processing a large document level dataset, SEDAR, from canadian financial
regulatory filings. Using this model, we show that it is possible to predict
trade volume changes using regulatory filings. We adapt the pretraining task of
HiBERT ([36]) to obtain good sentence level representations using a large
unlabelled document dataset. Finetuning the model to successfully predict trade
volume changes indicates that the model captures a view from financial markets
and processing regulatory filings is beneficial. Analyzing the attention
patterns of our model reveals that it is able to detect some indications of
material information without explicit training, which is highly relevant for
investors and also for the market surveillance mandate of financial regulators."
