,title,category,authors,date,summary
0,Electron trapping in graphene quantum dots with magnetic flux,Mesoscale and Nanoscale Physics,Mohammed El Azar; Ahmed Bouhlal; Abdulaziz D. Alhaidari; Ahmed Jellal,24-August-2023,"It is known that the appearance of Klein tunneling in graphene makes it hard
to keep or localize electrons in a graphene-based quantum dot (GQD). However, a
magnetic field can be used to temporarily confine an electron that is traveling
into a GQD. The electronic states investigated here are resonances with a
finite trapping time, also referred to as quasi-bound states. By subjecting the
GDQ to a magnetic flux, we study the scattering phenomenon and the
Aharonov-Bohm effect on the lifetime of quasi-bound states existing in a GQD.
We demonstrate that the trapping time increases with the magnetic flux
sustaining the trapped states for a long time even after the flux is turned
off. Furthermore, we discover that the probability density within the GQD is
also clearly improved. We demonstrate that the trapping time of an electron
inside a GQD can be successfully extended by adjusting the magnetic flux
parameters."
1,Spectral determination of the colour and vertical structure of dark spots in Neptune's atmosphere,Earth and Planetary Astrophysics,Patrick G. J. Irwin; Jack Dobinson; Arjuna James. Michael H. Wong; Leigh N. Fletcher; Michael T. Roman; Nicholas A. Teanby; Daniel Toledo; Glenn S. Orton; Santiago Perez-Hoyos; Agustin Sanchez-Lavega; Lawrence Sromovsky; Amy A. Simon; Raul Morales-Juberias; Imke de Pater; Statia L. Cook,24-August-2023,"Previous observations of dark vortices in Neptune's atmosphere, such as
Voyager-2's Great Dark Spot, have been made in only a few, broad-wavelength
channels, which has hampered efforts to pinpoint their pressure level and what
makes them dark. Here, we present Very Large Telescope (Chile) MUSE
spectrometer observations of Hubble Space Telescope's NDS-2018 dark spot, made
in 2019. These medium-resolution 475 - 933 nm reflection spectra allow us to
show that dark spots are caused by a darkening at short wavelengths (< 700 nm)
of a deep ~5-bar aerosol layer, which we suggest is the H$_2$S condensation
layer. A deep bright spot, named DBS-2019, is also visible on the edge of
NDS-2018, whose spectral signature is consistent with a brightening of the same
5-bar layer at longer wavelengths (> 700 nm). This bright feature is much
deeper than previously studied dark spot companion clouds and may be connected
with the circulation that generates and sustains such spots."
2,Software Startups -- A Research Agenda,Software Engineering,Michael Unterkalmsteiner; Pekka Abrahamsson; Xiaofeng Wang; Anh Nguyen-Duc; Syed M. Ali Shah; Sohaib Shahid Bajwa; Guido H. Baltes; Kieran Conboy; Eoin Cullina; Denis Dennehy; Henry Edison; Carlos Fernández-Sánchez; Juan Garbajosa; Tony Gorschek; Eriks Klotins; Laura Hokkanen; Fabio Kon; Ilaria Lunesu; Michele Marchesi; Lorraine Morgan; Markku Oivo; Christoph Selig; Pertti Seppänen; Roger Sweetman; Pasi Tyrväinen; Christina Ungerer; Agustín Yagüe,24-August-2023,"Software startup companies develop innovative, software-intensive products
within limited time frames and with few resources, searching for sustainable
and scalable business models. Software startups are quite distinct from
traditional mature software companies, but also from micro-, small-, and
medium-sized enterprises, introducing new challenges relevant for software
engineering research. This paper's research agenda focuses on software
engineering in startups, identifying, in particular, 70+ research questions in
the areas of supporting startup engineering activities, startup evolution
models and patterns, ecosystems and innovation hubs, human aspects in software
startups, applying startup concepts in non-startup environments, and
methodologies and theories for startup research. We connect and motivate this
research agenda with past studies in software startup research, while pointing
out possible future directions. While all authors of this research agenda have
their main background in Software Engineering or Computer Science, their
interest in software startups broadens the perspective to the challenges, but
also to the opportunities that emerge from multi-disciplinary research. Our
audience is therefore primarily software engineering researchers, even though
we aim at stimulating collaborations and research that crosses disciplinary
boundaries. We believe that with this research agenda we cover a wide spectrum
of the software startup industry current needs."
3,Self-induced Bose glass phase in quantum cluster quasicrystals,Quantum Gases,Matheus Grossklags; Matteo Ciardi; Vinicius Zampronio; Fabio Cinti; Alejandro Mendoza-Coto,23-August-2023,"We study the emergence of Bose glass phases in self sustained bosonic
quasicrystals induced by a pair interaction between particles of
Lifshitz-Petrich type. By using a mean field variational method designed in
momentum space as well as Gross-Pitaevskii simulations we determine the phase
diagram of the model. The study of the local and global superfluid fraction
allows the identification of supersolid, super quasicrystal, Bose glass and
insulating phases. The Bose glass phase emerges as a quasicrystal phase in
which the global superfluidity is essentially zero, while the local
superfluidity remains finite in certain ring structures of the quasicrystalline
pattern. Furthermore, we perform continuous space Path Integral Monte Carlo
simulations for a case in which the interaction between particles stabilizes a
quasicrystal phase. Our results show that as the strength of the interaction
between particles is increased the system undergoes a sequence of states
consistent with the super quasicrystal, Bose glass, and quasicrystal insulator
thermodynamic phases."
4,Evolution of ESG-focused DLT Research: An NLP Analysis of the Literature,Information Retrieval,Walter Hernandez; Kamil Tylinski; Alastair Moore; Niall Roche; Nikhil Vadgama; Horst Treiblmaier; Jiangbo Shangguan; Paolo Tasca; Jiahua Xu,23-August-2023,"Distributed Ledger Technologies (DLTs) have rapidly evolved, necessitating
comprehensive insights into their diverse components. However, a systematic
literature review that emphasizes the Environmental, Sustainability, and
Governance (ESG) components of DLT remains lacking. To bridge this gap, we
selected 107 seed papers to build a citation network of 63,083 references and
refined it to a corpus of 24,539 publications for analysis. Then, we labeled
the named entities in 46 papers according to twelve top-level categories
derived from an established technology taxonomy and enhanced the taxonomy by
pinpointing DLT's ESG elements. Leveraging transformer-based language models,
we fine-tuned a pre-trained language model for a Named Entity Recognition (NER)
task using our labeled dataset. We used our fine-tuned language model to
distill the corpus to 505 key papers, facilitating a literature review via
named entities and temporal graph analysis on DLT evolution in the context of
ESG. Our contributions are a methodology to conduct a machine learning-driven
systematic literature review in the DLT field, placing a special emphasis on
ESG aspects. Furthermore, we present a first-of-its-kind NER dataset, composed
of 54,808 named entities, designed for DLT and ESG-related explorations."
5,Multi-Objective Optimization for Sparse Deep Neural Network Training,Machine Learning,S. S. Hotegni; S. Peitz; M. Berkemeier,23-August-2023,"Different conflicting optimization criteria arise naturally in various Deep
Learning scenarios. These can address different main tasks (i.e., in the
setting of Multi-Task Learning), but also main and secondary tasks such as loss
minimization versus sparsity. The usual approach is a simple weighting of the
criteria, which formally only works in the convex setting. In this paper, we
present a Multi-Objective Optimization algorithm using a modified Weighted
Chebyshev scalarization for training Deep Neural Networks (DNNs) with respect
to several tasks. By employing this scalarization technique, the algorithm can
identify all optimal solutions of the original problem while reducing its
complexity to a sequence of single-objective problems. The simplified problems
are then solved using an Augmented Lagrangian method, enabling the use of
popular optimization techniques such as Adam and Stochastic Gradient Descent,
while efficaciously handling constraints. Our work aims to address the
(economical and also ecological) sustainability issue of DNN models, with a
particular focus on Deep Multi-Task models, which are typically designed with a
very large number of weights to perform equally well on multiple tasks. Through
experiments conducted on two Machine Learning datasets, we demonstrate the
possibility of adaptively sparsifying the model during training without
significantly impacting its performance, if we are willing to apply
task-specific adaptations to the network weights. Code is available at
https://github.com/salomonhotegni/MDMTN."
6,HarvestNet: A Dataset for Detecting Smallholder Farming Activity Using Harvest Piles and Remote Sensing,Computer Vision and Pattern Recognition,Jonathan Xu; Amna Elmustafa; Liya Weldegebriel; Emnet Negash; Richard Lee; Chenlin Meng; Stefano Ermon; David Lobell,23-August-2023,"Small farms contribute to a large share of the productive land in developing
countries. In regions such as sub-Saharan Africa, where 80% of farms are small
(under 2 ha in size), the task of mapping smallholder cropland is an important
part of tracking sustainability measures such as crop productivity. However,
the visually diverse and nuanced appearance of small farms has limited the
effectiveness of traditional approaches to cropland mapping. Here we introduce
a new approach based on the detection of harvest piles characteristic of many
smallholder systems throughout the world. We present HarvestNet, a dataset for
mapping the presence of farms in the Ethiopian regions of Tigray and Amhara
during 2020-2023, collected using expert knowledge and satellite images,
totaling 7k hand-labeled images and 2k ground collected labels. We also
benchmark a set of baselines including SOTA models in remote sensing with our
best models having around 80% classification performance on hand labelled data
and 90%, 98% accuracy on ground truth data for Tigray, Amhara respectively. We
also perform a visual comparison with a widely used pre-existing coverage map
and show that our model detects an extra 56,621 hectares of cropland in Tigray.
We conclude that remote sensing of harvest piles can contribute to more timely
and accurate cropland assessments in food insecure region."
7,Type III Radio Bursts from Solar Eruptions and their Connection to GLE and SGRE Events,Solar and Stellar Astrophysics,Nat Gopalswamy; Anshu Kumari; Pertti A. Mäkelä,22-August-2023,"We report on the close similarity of coronal mass ejection (CME) properties
in ground level enhancement (GLE) in solar energetic particle (SEP) events and
sustained gamma ray emission (SGRE) from the Sun as indicated by low frequency
type III radio bursts observed in the interplanetary medium. The complex type
III bursts have an average 1 MHz duration of 36 and 34 min in the SGRE and GLE
events, respectively. Similarly, the CMEs underlying SGRE and GLE have average
space speeds of 1866 and 2084 km/s, respectively. These are larger than the
corresponding values (32 min, 1407 km/s) for a control sample of type III
bursts associated with frontside halo CMEs with sky plane speed exceeding 800
km/s. These results are consistent with the idea that energetic CME driven
shocks accelerate particles to very high energies that are responsible for GLE
and SGRE events."
8,Multistability of elasto-inertial two-dimensional channel flow,Fluid Dynamics,Miguel Beneitez; Jacob Page; Yves Dubief; Rich R. Kerswell,22-August-2023,"Elasto-inertial turbulence (EIT) is a recently discovered two-dimensional
chaotic flow state observed in dilute polymer solutions. It has been
hypothesised that the dynamical origins of EIT are linked to a center-mode
instability, whose nonlinear evolution leads to a travelling wave with an
'arrowhead' structure in the polymer conformation, a structure also observed
instantaneously in simulations of EIT. In this work we conduct a suite of
two-dimensional direct numerical simulations spanning a wide range of polymeric
flow parameters to examine the possible dynamical connection between the
arrowhead and EIT. Our calculations reveal (up to) four co-existent attractors:
the laminar state and a steady arrowhead, along with EIT and a 'chaotic
arrowhead'. The steady arrowhead is stable for all parameters considered here,
while the final pair of (chaotic) flow states are visually very similar and can
be distinguished only by the presence of a weak polymer arrowhead structure in
the 'chaotic arrowhead' regime. Analysis of energy transfers between the flow
and the polymer indicates that both chaotic regimes are maintained by an
identical near-wall mechanism and that the weak arrowhead does not play a role.
Our results suggest that the arrowhead is a benign flow structure that is
disconnected from the self-sustaining mechanics of EIT."
9,Radiative Magnetohydrodynamic Simulation of the Confined Eruption of a Magnetic Flux Rope: Unveiling the Driving and Constraining Forces,Solar and Stellar Astrophysics,Can Wang; Feng Chen; Mingde Ding; Zekun Lu,22-August-2023,"We analyse the forces that control the dynamic evolution of a flux rope
eruption in a three-dimensional (3D) radiative magnetohydrodynamic (RMHD)
simulation. The confined eruption of the flux rope gives rise to a C8.5 flare.
The flux rope rises slowly with an almost constant velocity of a few km/s in
the early stage, when the gravity and Lorentz force are nearly counterbalanced.
After the flux rope rises to the height at which the decay index of the
external poloidal field satisfies the torus instability criterion, the
significantly enhanced Lorentz force breaks the force balance and drives rapid
acceleration of the flux rope. Fast magnetic reconnection is immediately
induced within the current sheet under the erupting flux rope, which provides a
strong positive feedback to the eruption. The eruption is eventually confined
due to the tension force from the strong external toroidal field. Our results
suggest that the gravity of plasma plays an important role in sustaining the
quasi-static evolution of the pre-eruptive flux rope. The Lorentz force, which
is contributed from both the ideal magnetohydrodynamic (MHD) instability and
magnetic reconnection, dominates the dynamic evolution during the eruption
process."
