,title,category,authors,date,summary
0,A new framework for global data regulation,Computers and Society,Ellie Graeden; David Rosado; Tess Stevens; Mallory Knodel; Rachele Hendricks-Sturrup; Andrew Reiskind; Ashley Bennett; John Leitner; Paul Lekas; Michelle DeMooy,24-August-2023,"Under the current regulatory framework for data protections, the protection
of human rights writ large and the corresponding outcomes are regulated largely
independently from the data and tools that both threaten those rights and are
needed to protect them. This separation between tools and the outcomes they
generate risks overregulation of the data and tools themselves when not linked
to sensitive use cases. In parallel, separation risks under-regulation if the
data can be collected and processed under a less-restrictive framework, but
used to drive an outcome that requires additional sensitivity and restrictions.
A new approach is needed to support differential protections based on the
genuinely high-risk use cases within each sector. Here, we propose a regulatory
framework designed to apply not to specific data or tools themselves, but to
the outcomes and rights that are linked to the use of these data and tools in
context. This framework is designed to recognize, address, and protect a broad
range of human rights, including privacy, and suggests a more flexible approach
to policy making that is aligned with current engineering tools and practices.
We test this framework in the context of open banking and describe how current
privacy-enhancing technologies and other engineering strategies can be applied
in this context and that of contract tracing applications. This approach for
data protection regulations more effectively builds on existing engineering
tools and protects the wide range of human rights defined by legislation and
constitutions around the globe."
1,The motility-matrix production switch in Bacillus subtilis -- a modeling perspective,Biological Physics,Simon Dannenberg; Jonas Penning; Alexander Simm; Stefan Klumpp,24-August-2023,"Phenotype switching can be triggered by external stimuli and by intrinsic
stochasticity. Here, we focus on the motility-matrix production switch in
Bacillus subtilis. We use modeling to describe the SinR-SlrR bistable switch
its regulation by SinI, and to distinguish different sources of stochasticity.
Our simulations indicate that intrinsic fluctuations in the synthesis of SinI
are insufficient to drive spontaneous switching and suggest that switching is
triggered by upstream noise from the Spo0A phosphorelay."
2,FastSurfer-HypVINN: Automated sub-segmentation of the hypothalamus and adjacent structures on high-resolutional brain MRI,Computer Vision and Pattern Recognition,Santiago Estrada; David Kügler; Emad Bahrami; Peng Xu; Dilshad Mousa; Monique M. B. Breteler; N. Ahmad Aziz; Martin Reuter,24-August-2023,"The hypothalamus plays a crucial role in the regulation of a broad range of
physiological, behavioural, and cognitive functions. However, despite its
importance, only a few small-scale neuroimaging studies have investigated its
substructures, likely due to the lack of fully automated segmentation tools to
address scalability and reproducibility issues of manual segmentation. While
the only previous attempt to automatically sub-segment the hypothalamus with a
neural network showed promise for 1.0 mm isotropic T1-weighted (T1w) MRI, there
is a need for an automated tool to sub-segment also high-resolutional (HiRes)
MR scans, as they are becoming widely available, and include structural detail
also from multi-modal MRI. We, therefore, introduce a novel, fast, and fully
automated deep learning method named HypVINN for sub-segmentation of the
hypothalamus and adjacent structures on 0.8 mm isotropic T1w and T2w brain MR
images that is robust to missing modalities. We extensively validate our model
with respect to segmentation accuracy, generalizability, in-session test-retest
reliability, and sensitivity to replicate hypothalamic volume effects (e.g.
sex-differences). The proposed method exhibits high segmentation performance
both for standalone T1w images as well as for T1w/T2w image pairs. Even with
the additional capability to accept flexible inputs, our model matches or
exceeds the performance of state-of-the-art methods with fixed inputs. We,
further, demonstrate the generalizability of our method in experiments with 1.0
mm MR scans from both the Rhineland Study and the UK Biobank. Finally, HypVINN
can perform the segmentation in less than a minute (GPU) and will be available
in the open source FastSurfer neuroimaging software suite, offering a
validated, efficient, and scalable solution for evaluating imaging-derived
phenotypes of the hypothalamus."
3,Loss Measurement of Low RDS Devices Through Thermal Modelling -- The Advantage of Not Turning it Fully On,Systems and Control,José Miguel Sanz-Alcaine; Francisco Jose Perez-Cebolla; Carlos Bernal-Ruiz; Asier Arruti; Iosu Aizpuru; Juan Sanchez,24-August-2023,"This paper presents and evaluates a novel method for generating power losses
on transistors avoiding high currents. These could heat up the circuit tracks,
affecting the accurate thermal modeling of the system. The proposed procedure
is based on the transistor current regulation with low gate voltages and the
linearity between power and temperature, being useful for all transistor
technologies (Si, SiC and GaN). Through this method, low DC currents are enough
to bring transistors to their thermal limits. Thermal stability issues and
their differences between technologies are discussed and an experimental
validation of the method is carried out."
4,"Optimal and Robust Fault Tolerant Control of Wind Turbines Working under Sensor, Actuator, and System Faults",Systems and Control,Yashar Mousavi,24-August-2023,"Motivated by the increasing concerns over environmental challenges such as
global warming and the exhaustion of fossil-fuel reserves, the renewable energy
industry has become the most demanded electrical energy production source
worldwide. In this context, wind energy conversion systems (WECSs) are the most
dominant and fastest-growing alternative energy production technologies,
playing an increasingly vital role in renewable power generation. To tackle the
pitch control problem of WECSs, this thesis proposes an optimal fault-tolerant
fractional-order pitch control strategy for pitch angle regulation of WT blades
subjected to sensor, actuator, and system faults. To showcast the effects of
faults, changes in the system parameters are considered as a result of sensor,
actuator and system faults with various levels of severity.} Furthermore,
taking advantage of the favourable merits of higher-order SMCs and fractional
calculus, this thesis develops a fault-tolerant fractional-calculus-based
higher-order sliding mode controller for optimum rotor speed tracking and power
production maximization of WECSs. \textcolor{black}{The partial loss of the
generator output torque is considered as an actuator failure, leading to loss
of partial actuation power. Moreover, active fault-tolerant fractional-order
higher-order SMC strategies are developed for rotor current regulation and
speed trajectory tracking of doubly-fed induction generator (DFIG) -driven
WECSs subjected to model uncertainties and rotor current sensor faults. The
developed controllers are augmented with two state observers, an algebraic
state estimator and a sliding mode observer, to estimate the rotor current
dynamics during sensors' faults."
5,Financial Inclusion and Monetary Policy: A Study on the Relationship between Financial Inclusion and Effectiveness of Monetary Policy in Developing Countries,General Economics,Gautam Kumar Biswas; Faruque Ahamed,24-August-2023,"The study analyzed the impact of financial inclusion on the effectiveness of
monetary policy in developing countries. By using a panel data set of 10
developing countries during 2004-2020, the study revealed that the financial
inclusion measured by the number of ATM per 100,000 adults had a significant
negative effect on monetary policy, whereas the other measure of financial
inclusion i.e. the number of bank accounts per 100,000 adults had a positive
impact on monetary policy, which is not statistically significant. The study
also revealed that foreign direct investment (FDI), lending rate and exchange
rate had a positive impact on inflation, but only the effect of lending rate is
statistically significant. Therefore, the governments of these countries should
make necessary drives to increase the level of financial inclusion as it
stabilizes the price level by reducing the inflation in the economy."
6,"False Information, Bots and Malicious Campaigns: Demystifying Elements of Social Media Manipulations",Social and Information Networks,Mohammad Majid Akhtar; Rahat Masood; Muhammad Ikram; Salil S. Kanhere,24-August-2023,"The rapid spread of false information and persistent manipulation attacks on
online social networks (OSNs), often for political, ideological, or financial
gain, has affected the openness of OSNs. While researchers from various
disciplines have investigated different manipulation-triggering elements of
OSNs (such as understanding information diffusion on OSNs or detecting
automated behavior of accounts), these works have not been consolidated to
present a comprehensive overview of the interconnections among these elements.
Notably, user psychology, the prevalence of bots, and their tactics in relation
to false information detection have been overlooked in previous research. To
address this research gap, this paper synthesizes insights from various
disciplines to provide a comprehensive analysis of the manipulation landscape.
By integrating the primary elements of social media manipulation (SMM),
including false information, bots, and malicious campaigns, we extensively
examine each SMM element. Through a systematic investigation of prior research,
we identify commonalities, highlight existing gaps, and extract valuable
insights in the field. Our findings underscore the urgent need for
interdisciplinary research to effectively combat social media manipulations,
and our systematization can guide future research efforts and assist OSN
providers in ensuring the safety and integrity of their platforms."
7,Nonlinearity tunes crack dynamics in soft materials,Soft Condensed Matter,Fucheng Tian; Jian Ping Gong,24-August-2023,"Cracks in soft materials exhibit diverse dynamic patterns, involving
straight, oscillation, branching, and supershear fracture. Here, we
successfully reproduce these crack morphologies in a two-dimensional
pre-strained fracture scenario and establish crack stability phase diagrams for
three distinct nonlinear materials using a fracture phase field model. The
contrasting phase diagrams highlight the crucial role of nonlinearity in
regulating crack dynamics. In strain-softening materials, crack branching
prevails, limiting the cracks to sub-Rayleigh states. Yet strain-stiffening
stabilizes crack propagation, allowing for the presence of supershear fracture.
Of particular interest is the large-strain linear elastic materials, where
crack oscillation is readily triggered. The onset speed of such instability
scales linearly with the characteristic wave speed near the crack tip,
supporting the notion that such crack oscillations are a universal instability
closely tied to the wave speed. The oscillation wavelength is shown to be a
bilinear function of the nonlinear scale and crack driving force, with a
minimum length scale associated with the dissipative zone. Moreover, our
findings suggest that the increase in characteristic wave speed due to
strain-stiffening can account for the observed transition of cracks from
sub-Rayleigh to supershear regimes."
8,Procurement in welfare programs: Evidence and implications from WIC infant formula contracts,General Economics,Yonghong An; David Davis; Yizao Liu; Ruli Xiao,24-August-2023,"This paper examines the impact of government procurement in social welfare
programs on consumers, manufacturers, and the government. We analyze the U.S.
infant formula market, where over half of the total sales are purchased by the
Women, Infants, and Children (WIC) program. The WIC program utilizes
first-price auctions to solicit rebates from the three main formula
manufacturers, with the winner exclusively serving all WIC consumers in the
winning state. The manufacturers compete aggressively in providing rebates
which account for around 85% of the wholesale price. To rationalize and
disentangle the factors contributing to this phenomenon, we model
manufacturers' retail pricing competition by incorporating two unique features:
price inelastic WIC consumers and government regulation on WIC brand prices.
Our findings confirm three sizable benefits from winning the auction: a notable
spill-over effect on non-WIC demand, a significant marginal cost reduction, and
a higher retail price for the WIC brand due to the price inelasticity of WIC
consumers. Our counterfactual analysis shows that procurement auctions affect
manufacturers asymmetrically, with the smallest manufacturer harmed the most.
More importantly, by switching from the current mechanism to a predetermined
rebate procurement, the government can still contain the cost successfully,
consumers' surplus is greatly improved, and the smallest manufacturer benefits
from the switch, promoting market competition."
9,Trend and Emerging Types of 419 Scams,Cryptography and Security,Polra Victor Falade,23-August-2023,"Technological advancements have revolutionized various aspects of human life,
facilitating communication, business operations, healthcare, education, and
environmental monitoring. However, this increased reliance on technology has
also led to a surge in cybercrime, including cyber scams. The ""419 scam"" or
Nigerian scam has been a persistent problem for decades, encompassing frauds
like advance fee scams, fake lotteries, and black money scams. Initially
prevalent through postal mail and later via fax, the scam has now transitioned
to email. This study aims to identify recent types of 419 scam emails,
particularly after the covid 19 pandemic, and explore commonly used email
subjects. Analysis of the sample 419 scam emails revealed trending scams like
lucky winner, threat of exposure, business/partnership proposals, investment,
cancer/long-term illness, fund, and compensation scams. Emerging scams included
COVID-related, cryptocurrency, marketing contact, and software development
scams. Irrespective of the scam type, scammers commonly employed email subjects
such as 'Re', 'Good day', 'Greetings', 'Dear friend', 'Confirm', 'Attention',
and 'Hello dear'. The severity of cybercrime, especially the 419 scams, cannot
be overstated, as it erodes trust, causes financial losses, and hampers
Nigeria's reputation and economic progress. Combatting cyber scams and
enhancing cybersecurity measures are crucial to protect individuals and
organizations from falling victim to these fraudulent schemes."
