,title,category,authors,date,summary
0,AI For Fraud Awareness,Artificial Intelligence,Prabh Simran Singh Baweja; Orathai Sangpetch; Akkarit Sangpetch,16-August-2023,"In today's world, with the rise of numerous social platforms, it has become
relatively easy for anyone to spread false information and lure people into
traps. Fraudulent schemes and traps are growing rapidly in the investment
world. Due to this, countries and individuals face huge financial risks. We
present an awareness system with the use of machine learning and gamification
techniques to educate the people about investment scams and traps. Our system
applies machine learning techniques to provide a personalized learning
experience to the user. The system chooses distinct game-design elements and
scams from the knowledge pool crafted by domain experts for each individual.
The objective of the research project is to reduce inequalities in all
countries by educating investors via Active Learning. Our goal is to assist the
regulators in assuring a conducive environment for a fair, efficient, and
inclusive capital market. In the paper, we discuss the impact of the problem,
provide implementation details, and showcase the potentiality of the system
through preliminary experiments and results."
1,Nested Multilevel Monte Carlo with Biased and Antithetic Sampling,Computational Finance,Abdul-Lateef Haji-Ali; Jonathan Spence,15-August-2023,"We consider the problem of estimating a nested structure of two expectations
taking the form $U_0 = E[\max\{U_1(Y), \pi(Y)\}]$, where $U_1(Y) = E[X\ |\ Y]$.
Terms of this form arise in financial risk estimation and option pricing. When
$U_1(Y)$ requires approximation, but exact samples of $X$ and $Y$ are
available, an antithetic multilevel Monte Carlo (MLMC) approach has been
well-studied in the literature. Under general conditions, the antithetic MLMC
estimator obtains a root mean squared error $\varepsilon$ with order
$\varepsilon^{-2}$ cost. If, additionally, $X$ and $Y$ require approximate
sampling, careful balancing of the various aspects of approximation is required
to avoid a significant computational burden. Under strong convergence criteria
on approximations to $X$ and $Y$, randomised multilevel Monte Carlo techniques
can be used to construct unbiased Monte Carlo estimates of $U_1$, which can be
paired with an antithetic MLMC estimate of $U_0$ to recover order
$\varepsilon^{-2}$ computational cost. In this work, we instead consider biased
multilevel approximations of $U_1(Y)$, which require less strict assumptions on
the approximate samples of $X$. Extensions to the method consider an
approximate and antithetic sampling of $Y$. Analysis shows the resulting
estimator has order $\varepsilon^{-2}$ asymptotic cost under the conditions
required by randomised MLMC and order $\varepsilon^{-2}|\log\varepsilon|^3$
cost under more general assumptions."
2,Game Theoretic Modelling of a Ransom and Extortion Attack on Ethereum Validators,Computer Science and Game Theory,Alpesh Bhudia; Anna Cartwright; Edward Cartwright; Darren Hurley-Smith; Julio Hernandez-Castro,01-August-2023,"Consensus algorithms facilitate agreement on and resolution of blockchain
functions, such as smart contracts and transactions. Ethereum uses a
Proof-of-Stake (PoS) consensus mechanism, which depends on financial incentives
to ensure that validators perform certain duties and do not act maliciously.
Should a validator attempt to defraud the system, legitimate validators will
identify this and then staked cryptocurrency is `burned' through a process of
slashing.
  In this paper, we show that an attacker who has compromised a set of
validators could threaten to perform malicious actions that would result in
slashing and thus, hold those validators to ransom. We use game theory to study
how an attacker can coerce payment from a victim, for example by deploying a
smart contract to provide a root of trust shared between attacker and victim
during the extortion process. Our game theoretic model finds that it is in the
interests of the validators to fully pay the ransom due to a lack of systemic
protections for validators. Financial risk is solely placed on the victim
during such an attack, with no mitigations available to them aside from
capitulation (payment of ransom) in many scenarios. Such attacks could be
disruptive to Ethereum and, likely, to many other PoS networks, if public trust
in the validator system is eroded. We also discuss and evaluate potential
mitigation measures arising from our analysis of the game theoretic model."
3,Causal Inference for Banking Finance and Insurance A Survey,Artificial Intelligence,Satyam Kumar; Yelleti Vivek; Vadlamani Ravi; Indranil Bose,31-July-2023,"Causal Inference plays an significant role in explaining the decisions taken
by statistical models and artificial intelligence models. Of late, this field
started attracting the attention of researchers and practitioners alike. This
paper presents a comprehensive survey of 37 papers published during 1992-2023
and concerning the application of causal inference to banking, finance, and
insurance. The papers are categorized according to the following families of
domains: (i) Banking, (ii) Finance and its subdomains such as corporate
finance, governance finance including financial risk and financial policy,
financial economics, and Behavioral finance, and (iii) Insurance. Further, the
paper covers the primary ingredients of causal inference namely, statistical
methods such as Bayesian Causal Network, Granger Causality and jargon used
thereof such as counterfactuals. The review also recommends some important
directions for future research. In conclusion, we observed that the application
of causal inference in the banking and insurance sectors is still in its
infancy, and thus more research is possible to turn it into a viable method."
4,BOURNE: Bootstrapped Self-supervised Learning Framework for Unified Graph Anomaly Detection,Social and Information Networks,Jie Liu; Mengting He; Xuequn Shang; Jieming Shi; Bin Cui; Hongzhi Yin,28-July-2023,"Graph anomaly detection (GAD) has gained increasing attention in recent years
due to its critical application in a wide range of domains, such as social
networks, financial risk management, and traffic analysis. Existing GAD methods
can be categorized into node and edge anomaly detection models based on the
type of graph objects being detected. However, these methods typically treat
node and edge anomalies as separate tasks, overlooking their associations and
frequent co-occurrences in real-world graphs. As a result, they fail to
leverage the complementary information provided by node and edge anomalies for
mutual detection. Additionally, state-of-the-art GAD methods, such as CoLA and
SL-GAD, heavily rely on negative pair sampling in contrastive learning, which
incurs high computational costs, hindering their scalability to large graphs.
To address these limitations, we propose a novel unified graph anomaly
detection framework based on bootstrapped self-supervised learning (named
BOURNE). We extract a subgraph (graph view) centered on each target node as
node context and transform it into a dual hypergraph (hypergraph view) as edge
context. These views are encoded using graph and hypergraph neural networks to
capture the representations of nodes, edges, and their associated contexts. By
swapping the context embeddings between nodes and edges and measuring the
agreement in the embedding space, we enable the mutual detection of node and
edge anomalies. Furthermore, we adopt a bootstrapped training strategy that
eliminates the need for negative sampling, enabling BOURNE to handle large
graphs efficiently. Extensive experiments conducted on six benchmark datasets
demonstrate the superior effectiveness and efficiency of BOURNE in detecting
both node and edge anomalies."
5,Economic Analysis of Smart Roadside Infrastructure Sensors for Connected and Automated Mobility,General Economics,Laurent Kloeker; Gregor Joeken; Lutz Eckstein,24-July-2023,"Smart roadside infrastructure sensors in the form of intelligent
transportation system stations (ITS-Ss) are increasingly deployed worldwide at
relevant traffic nodes. The resulting digital twins of the real environment are
suitable for developing and validating connected and automated driving
functions and for increasing the operational safety of intelligent vehicles by
providing ITS-S real-time data. However, ITS-Ss are very costly to establish
and operate. The choice of sensor technology also has an impact on the overall
costs as well as on the data quality. So far, there is only insufficient
knowledge about the concrete expenses that arise with the construction of
different ITS-S setups. Within this work, multiple modular infrastructure
sensor setups are investigated with the help of a life cycle cost analysis
(LCCA). Their economic efficiency, different user requirements and sensor data
qualities are considered. Based on the static cost model, a Monte Carlo
simulation is performed, to generate a range of possible project costs and to
quantify the financial risks of implementing ITS-S projects of different
scales. Due to its modularity, the calculation model is suitable for diverse
applications and outputs a distinctive evaluation of the underlying
cost-benefit ratio of investigated setups."
6,FinPT: Financial Risk Prediction with Profile Tuning on Pretrained Foundation Models,Risk Management,Yuwei Yin; Yazheng Yang; Jian Yang; Qi Liu,22-July-2023,"Financial risk prediction plays a crucial role in the financial sector.
Machine learning methods have been widely applied for automatically detecting
potential risks and thus saving the cost of labor. However, the development in
this field is lagging behind in recent years by the following two facts: 1) the
algorithms used are somewhat outdated, especially in the context of the fast
advance of generative AI and large language models (LLMs); 2) the lack of a
unified and open-sourced financial benchmark has impeded the related research
for years. To tackle these issues, we propose FinPT and FinBench: the former is
a novel approach for financial risk prediction that conduct Profile Tuning on
large pretrained foundation models, and the latter is a set of high-quality
datasets on financial risks such as default, fraud, and churn. In FinPT, we
fill the financial tabular data into the pre-defined instruction template,
obtain natural-language customer profiles by prompting LLMs, and fine-tune
large foundation models with the profile text to make predictions. We
demonstrate the effectiveness of the proposed FinPT by experimenting with a
range of representative strong baselines on FinBench. The analytical studies
further deepen the understanding of LLMs for financial risk prediction."
7,OptIForest: Optimal Isolation Forest for Anomaly Detection,Machine Learning,Haolong Xiang; Xuyun Zhang; Hongsheng Hu; Lianyong Qi; Wanchun Dou; Mark Dras; Amin Beheshti; Xiaolong Xu,22-June-2023,"Anomaly detection plays an increasingly important role in various fields for
critical tasks such as intrusion detection in cybersecurity, financial risk
detection, and human health monitoring. A variety of anomaly detection methods
have been proposed, and a category based on the isolation forest mechanism
stands out due to its simplicity, effectiveness, and efficiency, e.g., iForest
is often employed as a state-of-the-art detector for real deployment. While the
majority of isolation forests use the binary structure, a framework LSHiForest
has demonstrated that the multi-fork isolation tree structure can lead to
better detection performance. However, there is no theoretical work answering
the fundamentally and practically important question on the optimal tree
structure for an isolation forest with respect to the branching factor. In this
paper, we establish a theory on isolation efficiency to answer the question and
determine the optimal branching factor for an isolation tree. Based on the
theoretical underpinning, we design a practical optimal isolation forest
OptIForest incorporating clustering based learning to hash which enables more
information to be learned from data for better isolation quality. The rationale
of our approach relies on a better bias-variance trade-off achieved by bias
reduction in OptIForest. Extensive experiments on a series of benchmarking
datasets for comparative and ablation studies demonstrate that our approach can
efficiently and robustly achieve better detection performance in general than
the state-of-the-arts including the deep learning based methods."
8,Factors Affecting the Performance of Automated Speaker Verification in Alzheimer's Disease Clinical Trials,Audio and Speech Processing,Malikeh Ehghaghi; Marija Stanojevic; Ali Akram; Jekaterina Novikova,20-June-2023,"Detecting duplicate patient participation in clinical trials is a major
challenge because repeated patients can undermine the credibility and accuracy
of the trial's findings and result in significant health and financial risks.
Developing accurate automated speaker verification (ASV) models is crucial to
verify the identity of enrolled individuals and remove duplicates, but the size
and quality of data influence ASV performance. However, there has been limited
investigation into the factors that can affect ASV capabilities in clinical
environments. In this paper, we bridge the gap by conducting analysis of how
participant demographic characteristics, audio quality criteria, and severity
level of Alzheimer's disease (AD) impact the performance of ASV utilizing a
dataset of speech recordings from 659 participants with varying levels of AD,
obtained through multiple speech tasks. Our results indicate that ASV
performance: 1) is slightly better on male speakers than on female speakers; 2)
degrades for individuals who are above 70 years old; 3) is comparatively better
for non-native English speakers than for native English speakers; 4) is
negatively affected by clinician interference, noisy background, and unclear
participant speech; 5) tends to decrease with an increase in the severity level
of AD. Our study finds that voice biometrics raise fairness concerns as certain
subgroups exhibit different ASV performances owing to their inherent voice
characteristics. Moreover, the performance of ASV is influenced by the quality
of speech recordings, which underscores the importance of improving the data
collection settings in clinical trials."
9,CroCoDai: A Stablecoin for Cross-Chain Commerce,Cryptography and Security,Daniël Reijsbergen; Bretislav Hajek; Tien Tuan Anh Dinh; Jussi Keppo; Hank Korth; Anwitaman Datta,16-June-2023,"Decentralized Finance (DeFi), in which digital assets are exchanged without
trusted intermediaries, has grown rapidly in value in recent years. The global
DeFi ecosystem is fragmented into multiple blockchains, fueling the demand for
cross-chain commerce. Existing approaches for cross-chain transactions, e.g.,
bridges and cross-chain deals, achieve atomicity by locking assets in escrow.
However, locking up assets increases the financial risks for the participants,
especially due to price fluctuations and the long latency of cross-chain
transactions. Stablecoins, which are pegged to a non-volatile asset such as the
US dollar, help mitigate the risk associated with price fluctuations. However,
existing stablecoin designs are tied to individual blockchain platforms, and
trusted parties or complex protocols are needed to exchange stablecoin tokens
between blockchains.
  Our goal is to design a practical stablecoin for cross-chain commerce.
Realizing this goal requires addressing two challenges. The first challenge is
to support a large and growing number of blockchains efficiently. The second
challenge is to be resilient to price fluctuations and blockchain platform
failures. We present CroCoDai to address these challenges. We also present
three prototype implementations of our stablecoin system, and show that it
incurs small execution overhead."
10,How Should We Support Designing Privacy-Friendly Apps for Children? Using a Research through Design Process to Understand Developers' Needs and Challenges,Human-Computer Interaction,Anirudh Ekambaranathan; Jun Zhao; Max Van Kleek,01-June-2023,"Mobile apps used by children often make use of harmful techniques, such as
data tracking and targeted advertising. Previous research has suggested that
developers face several systemic challenges in designing apps that prioritise
children's best interests. To understand how developers can be better
supported, we used a Research through Design (RtD) method to explore what the
future of privacy-friendly app development could look like. We performed an
elicitation study with 20 children's app developers to understand their needs
and requirements. We found a number of specific technical requirements from the
participants about how they would like to be supported, such as having
actionable transnational design guidelines and easy-to-use development
libraries. However, participants were reluctant to adopt these design ideas in
their development practices due to perceived financial risks associated with
increased privacy in apps. To overcome this critical gap, participants
formulated socio-technical requirements that extend to other stakeholders in
the mobile industry, including parents and marketplaces. Our findings provide
important immediate and long-term design opportunities for the HCI community,
and indicate that support for changing app developers' practices must be
designed in the context of their relationship with other stakeholders."
11,JutePestDetect: An Intelligent Approach for Jute Pest Identification Using Fine-Tuned Transfer Learning,Computer Vision and Pattern Recognition,Md. Simul Hasan Talukder; Mohammad Raziuddin Chowdhury; Md Sakib Ullah Sourav; Abdullah Al Rakin; Shabbir Ahmed Shuvo; Rejwan Bin Sulaiman; Musarrat Saberin Nipun; Muntarin Islam; Mst Rumpa Islam; Md Aminul Islam; Zubaer Haque,28-May-2023,"In certain Asian countries, Jute is one of the primary sources of income and
Gross Domestic Product (GDP) for the agricultural sector. Like many other
crops, Jute is prone to pest infestations, and its identification is typically
made visually in countries like Bangladesh, India, Myanmar, and China. In
addition, this method is time-consuming, challenging, and somewhat imprecise,
which poses a substantial financial risk. To address this issue, the study
proposes a high-performing and resilient transfer learning (TL) based
JutePestDetect model to identify jute pests at the early stage. Firstly, we
prepared jute pest dataset containing 17 classes and around 380 photos per pest
class, which were evaluated after manual and automatic pre-processing and
cleaning, such as background removal and resizing. Subsequently, five prominent
pre-trained models -DenseNet201, InceptionV3, MobileNetV2, VGG19, and ResNet50
were selected from a previous study to design the JutePestDetect model. Each
model was revised by replacing the classification layer with a global average
pooling layer and incorporating a dropout layer for regularization. To evaluate
the models performance, various metrics such as precision, recall, F1 score,
ROC curve, and confusion matrix were employed. These analyses provided
additional insights for determining the efficacy of the models. Among them, the
customized regularized DenseNet201-based proposed JutePestDetect model
outperformed the others, achieving an impressive accuracy of 99%. As a result,
our proposed method and strategy offer an enhanced approach to pest
identification in the case of Jute, which can significantly benefit farmers
worldwide."
12,Privacy-preserving Blockchain-enabled Parametric Insurance via Remote Sensing and IoT,Cryptography and Security,Mingyu Hao; Keyang Qian; Sid Chi-Kin Chau,15-May-2023,"Traditional Insurance, a popular approach of financial risk management, has
suffered from the issues of high operational costs, opaqueness, inefficiency
and a lack of trust. Recently, blockchain-enabled ""parametric insurance""
through authorized data sources (e.g., remote sensing and IoT) aims to overcome
these issues by automating the underwriting and claim processes of insurance
policies on a blockchain. However, the openness of blockchain platforms raises
a concern of user privacy, as the private user data in insurance claims on a
blockchain may be exposed to outsiders. In this paper, we propose a
privacy-preserving parametric insurance framework based on succinct
zero-knowledge proofs (zk-SNARKs), whereby an insuree submits a zero-knowledge
proof (without revealing any private data) for the validity of an insurance
claim and the authenticity of its data sources to a blockchain for transparent
verification. Moreover, we extend the recent zk-SNARKs to support robust
privacy protection for multiple heterogeneous data sources and improve its
efficiency to cut the incurred gas cost by 80%. As a proof-of-concept, we
implemented a working prototype of bushfire parametric insurance on real-world
blockchain platform Ethereum, and present extensive empirical evaluations."
13,Study on the Identification of Financial Risk Path Under the Digital Transformation of Enterprise Based on DEMATEL-ISM-MICMAC,Statistical Finance,Jie Dong,07-May-2023,"Digital transformation challenges financial management while reducing costs
and increasing efficiency for enterprises in various countries. Identifying the
transmission paths of enterprise financial risks in the context of digital
transformation is an urgent problem to be solved. This paper constructs a
system of influencing factors of corporate financial risks in the new era
through literature research. It proposes a path identification method of
financial risks in the context of the digital transformation of enterprises
based on DEMATEL-ISM-MICMAC. This paper explores the intrinsic association
among the influencing factors of corporate financial risks, identifies the key
influencing factors, sorts out the hierarchical structure of the influencing
factor system, and analyses the dependency and driving relationships among the
factors in this system. The results show that: (1) The political and economic
environment being not optimistic will limit the enterprise's operating ability,
thus directly leading to the change of the enterprise's asset and liability
structure and working capital stock. (2) The enterprise's unreasonable talent
training and incentive mechanism will limit the enterprise's technological
innovation ability and cause a shortage of digitally literate financial
talents, which eventually leads to the vulnerability of the enterprise's
financial management. This study provides a theoretical reference for
enterprises to develop risk management strategies and ideas for future academic
research in digital finance."
